DATETIME,LEVEL_T1,LEVEL_T2,LEVEL_T3,LEVEL_T4,LEVEL_T5,LEVEL_T6,LEVEL_T7,FLOW_PU1,STATUS_PU1,FLOW_PU2,STATUS_PU2,FLOW_PU3,STATUS_PU3,FLOW_PU4,STATUS_PU4,FLOW_PU5,STATUS_PU5,FLOW_PU6,STATUS_PU6,FLOW_PU7,STATUS_PU7,FLOW_PU8,STATUS_PU8,FLOW_PU9,STATUS_PU9,FLOW_PU10,STATUS_PU10,FLOW_PU11,STATUS_PU11,FLOW_V2,STATUS_V2,PRESSURE_J280,PRESSURE_J269,PRESSURE_J300,PRESSURE_J256,PRESSURE_J289,PRESSURE_J415,PRESSURE_J302,PRESSURE_J306,PRESSURE_J307,PRESSURE_J317,PRESSURE_J14,PRESSURE_J422,ATT_FLAG
04/01/17 20,3.22,3.67,3.42,4.34,3.32,5.5,3.27,92.7,1,92.72,1,0,0,0,0,0,0,0,0,49.15,1,0,0,0,0,32.6,1,0,0,0,0,2.98,36.88,26.74,69.04,26.7,85.68,29.22,60.94,29.1,70.24,40.4,28.11,False
04/01/17 21,3.51,3.12,3.03,4.44,2.39,5.5,3.41,92.12,1,92.14,1,0,0,34.53,1,0,0,0,0,48.06,1,0,0,0,0,33.06,1,0,0,0,0,2.98,37.18,22.98,85.88,23.05,84.06,29.55,61.04,29.42,68.89,40.81,24.75,False
04/01/17 22,3.81,2.25,3.43,4.19,1.59,5.5,3.2,91.19,1,91.21,1,0,0,33.55,1,0,0,0,0,47.9,1,0,0,0,0,33.17,1,0,0,0,0,2.98,37.67,22.24,86.77,22.3,83.6,30.11,60.22,29.98,69.03,41.43,23.99,False
04/01/17 23,4.01,1.39,3.86,3.88,1.84,5.5,2.91,92.48,1,92.5,1,0,0,33.33,1,0,0,0,0,47.62,1,36.65,1,0,0,30.86,1,0,0,0,0,2.98,36.99,21.44,86.32,21.5,83.32,22.4,81.44,22.28,69.46,40.43,23.18,False
05/01/17 00,4.17,0.53,4.25,3.64,2.11,5.5,3.13,90.6,1,90.62,1,0,0,32.22,1,0,0,0,0,46.08,1,36.52,1,0,0,30.56,1,0,0,0,0,2.98,37.98,20.88,87.53,20.93,85.45,23.5,82.8,23.39,71.55,41.52,22.58,False
05/01/17 01,4.07,0.55,4.72,4.14,2.52,5.5,3.66,96.03,1,96.05,1,0,0,33.64,1,0,0,0,0,48.01,1,35.05,1,0,0,30.06,1,0,0,107.41,1,2.98,35.11,25.52,89.89,25.58,86.68,21.82,83.7,21.71,71.52,28.6,27.7,False
05/01/17 02,3.84,0.81,5.21,4.56,3.12,5.5,4.17,94.92,1,94.94,1,0,0,33.65,1,0,0,0,0,0,0,35.16,1,0,0,29.33,1,0,0,95.47,1,2.98,35.7,28.29,92.66,28.39,68.08,22.49,84.18,22.39,74.5,30.92,30.02,False
05/01/17 03,3.82,1.63,5.14,3.54,3.72,5.41,4.38,93.87,1,93.89,1,0,0,0,0,0,0,0,0,0,0,36.23,1,0,0,0,0,0,0,81.34,1,2.98,36.26,31.06,76.07,31.06,67.15,28.51,88.27,28.51,60.12,33.42,32.52,False
05/01/17 04,3.97,2.34,4.92,3.3,3.95,5.14,3.2,92.71,1,92.73,1,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,0,100.62,1,2.98,36.87,29.14,76.48,29.11,90.22,32.35,64.63,32.35,60.04,31.79,30.89,False
05/01/17 05,4.2,2.88,4.73,4.25,3.49,5.01,2.71,93.65,1,93.66,1,0,0,0,0,0,0,0,0,48.02,1,0,0,0,0,32,1,0,0,94.87,1,2.98,36.38,29.31,75.29,29.27,90.35,29.36,64.04,29.24,72.52,31.92,31.02,False
05/01/17 06,4.32,3.54,4.49,4.3,3.01,5.43,3.82,92.96,1,92.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.44,1,0,0,75.93,1,2.98,36.74,32.45,74.51,32.45,68.37,29.65,64.31,29.53,71.24,34.77,33.87,False
05/01/17 07,4.47,4.34,4.21,3.37,2.71,5.5,4.74,94.05,1,94.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.92,1,0,0,69.68,1,2.98,36.16,32.67,72.93,32.67,66.73,29.54,61.43,29.43,76.42,34.96,34.06,False
05/01/17 08,4.4,4.85,3.88,3.17,1.92,5.22,3.51,113.49,1,0,0,0,0,0,0,0,0,0,0,51.42,1,0,0,0,0,0,0,0,0,79.67,1,2.99,25.48,30.28,71.45,30.23,84.74,31.63,61.29,31.63,56.58,32.81,31.91,False
05/01/17 09,4.19,5.09,3.49,3.02,1.68,5.04,2.46,117.23,1,0,0,0,0,0,0,0,0,0,0,51.26,1,35.72,1,0,0,30.97,1,0,0,60.56,1,2.99,23.35,29.98,68.77,29.94,84.76,19.93,80.65,19.81,66.63,32.41,31.51,False
05/01/17 10,3.77,5.18,3.03,2.94,1.97,5.16,2.32,117.33,1,0,0,0,0,0,0,0,0,0,0,50.96,1,35.55,1,0,0,30.88,1,0,0,58.76,1,2.99,23.29,30.04,68.51,30,85.43,19.89,80.91,19.78,66.9,32.47,31.57,False
05/01/17 11,3.36,4.93,3.41,3.07,2.28,5.29,2.32,117.4,1,0,0,0,0,35.59,1,0,0,0,0,50.24,1,35.43,1,0,0,30.74,1,0,0,64.32,1,2.99,23.25,28.94,90.02,29.01,85.88,19.88,81.12,19.77,67.35,31.81,30.91,False
05/01/17 12,2.99,4.7,3.93,3.34,2.58,5.47,2.48,117.18,1,0,0,0,0,35.54,1,0,0,0,0,50.56,1,34.26,1,0,0,30.81,1,0,0,66.52,1,2.99,23.38,28.77,89.93,28.84,85.07,20.26,83.49,20.14,67.49,31.66,30.76,False
05/01/17 13,2.66,4.5,4.42,3.35,3.22,5.5,2.77,118.25,1,0,0,0,0,36.22,1,0,0,0,0,49.64,1,34.87,1,0,0,30,1,0,0,63.28,1,2.99,22.76,28.47,88.42,28.54,86.59,19.62,81.82,19.51,69.52,31.34,30.44,False
05/01/17 14,2.31,4.26,4.86,3.74,3.55,5.5,3.09,119.19,1,0,0,0,0,34.69,1,0,0,0,0,49.67,1,34.34,1,0,0,29.06,1,0,0,60.51,1,2.99,22.22,28.21,90.84,28.27,86.25,19.36,82.46,19.26,72.21,31.04,30.14,False
05/01/17 15,1.93,4.04,5.26,4.01,3.98,5.5,3.87,118.47,1,0,0,0,0,0,0,0,0,0,0,49.75,1,33.93,1,0,0,29.71,1,0,0,60.32,1,2.99,22.63,28.96,74.23,28.92,86.74,19.7,83.49,19.59,70.5,31.38,30.48,False
05/01/17 16,1.72,4.19,4.94,4.31,3.68,5.5,4.3,118.22,1,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,30.95,1,0,0,61.6,1,2.99,22.78,29.12,72.92,29.08,86.42,26.05,63.05,25.94,72.83,31.55,30.65,False
05/01/17 17,1.53,4.31,4.57,4.48,2.99,5.47,4.67,117.83,1,0,0,0,0,0,0,0,0,0,0,50.13,1,0,0,0,0,0,0,0,0,63.06,1,2.99,23,29.27,72.21,29.23,86.32,28.84,61.97,28.84,56.46,31.71,30.81,False
05/01/17 18,1.48,4.62,4.19,3.72,2.24,5.04,2.64,117.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.09,1,2.99,23.28,31.17,71.46,31.17,64.5,28.95,61.56,28.95,56.54,33.35,32.45,False
05/01/17 19,1.36,4.9,3.79,3.17,1.54,5.23,2.81,118.83,1,0,0,0,0,0,0,0,0,0,0,51.5,1,0,0,0,0,32.49,1,0,0,51.26,1,2.99,22.42,29.7,70.45,29.66,84.01,25.44,60.85,25.32,66.84,32.1,31.2,False
05/01/17 20,1.05,4.81,3.38,2.69,1.9,5.23,2.35,120.36,1,0,0,0,0,0,0,0,0,0,0,50.91,1,35.08,1,0,0,30.46,1,0,0,40.51,1,2.99,21.54,29.52,68.39,29.48,85.02,17.95,79.79,17.84,66.35,31.87,30.97,False
05/01/17 21,0.92,4.87,2.9,2.8,2.13,5.32,2.19,99.12,1,99.14,1,0,0,37.62,1,0,0,0,0,51.15,1,35.2,1,0,0,30.74,1,0,0,63.3,1,2.97,33.44,28.69,86.11,28.77,83.81,18.7,80.32,18.59,66.16,31.6,30.7,False
05/01/17 22,0.79,4.6,3.3,2.5,2.37,5.36,1.92,98.66,1,98.68,1,0,0,37.55,1,0,0,0,0,51.14,1,35.2,1,0,0,30.71,1,0,0,66.34,1,2.97,33.69,28.54,86.09,28.62,83.68,18.88,80.5,18.77,66.45,31.46,30.56,False
05/01/17 23,0.71,4.37,3.69,2.26,2.61,5.45,1.86,98.7,1,98.72,1,0,0,36.3,1,0,0,0,0,51.12,1,34.68,1,0,0,30.77,1,0,0,67.32,1,2.97,33.67,28.4,88.23,28.47,83.58,18.94,81.47,18.83,66.31,31.31,30.41,False
06/01/17 00,0.64,4.16,4.14,2.08,3,5.5,1.76,98.24,1,98.26,1,0,0,36.03,1,0,0,0,0,50.21,1,34.62,1,0,0,30.14,1,0,0,69.87,1,2.97,33.91,28.31,88.6,28.38,85.31,19.27,81.9,19.17,68.72,31.22,30.32,False
06/01/17 01,0.61,3.99,4.59,2.43,3.39,5.5,2.11,97.93,1,97.95,1,0,0,35.25,1,0,0,0,0,49.65,1,34.43,1,0,0,29.84,1,0,0,71.77,1,2.97,34.08,28.24,89.9,28.3,86.33,19.5,82.45,19.39,69.91,31.13,30.23,False
06/01/17 02,0.62,3.85,5.07,2.91,3.82,5.5,2.62,97.41,1,97.43,1,0,0,33.99,1,0,0,0,0,49.17,1,33.82,1,0,0,29.32,1,0,0,74.4,1,2.97,34.36,28.21,92.01,28.27,87.22,19.98,83.95,19.88,72.03,31.09,30.19,False
06/01/17 03,0.77,3.97,5.14,3.49,3.65,5.5,3.52,96.56,1,96.58,1,0,0,0,0,0,0,0,0,48.76,1,0,0,0,0,30.14,1,0,0,74.59,1,2.98,34.82,29.32,75.9,29.28,89,26.67,64.1,26.56,76.12,31.81,30.91,False
06/01/17 04,0.96,4.24,4.91,4.25,3.15,5.5,4.68,95.61,1,95.63,1,0,0,0,0,0,0,0,0,48.34,1,0,0,0,0,30.24,1,0,0,76.71,1,2.98,35.33,29.7,76.12,29.66,90.16,27.16,64.02,27.06,76.29,32.2,31.3,False
06/01/17 05,1.31,4.76,4.7,4.25,2.73,5.29,3.96,94.98,1,94.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.48,1,2.98,35.67,32.4,74.57,32.4,68.55,30.33,63.76,30.33,60.79,34.65,33.75,False
06/01/17 06,1.65,5.41,4.42,3.35,2.36,5.07,3.11,93.48,1,93.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.44,1,2.98,36.46,33.21,74.63,33.21,64.85,31.12,61.89,31.12,58.17,35.46,34.56,False
06/01/17 07,2.14,5.2,4.15,3.3,1.69,5.1,2.87,93.1,1,93.12,1,0,0,0,0,0,0,0,0,48.57,1,0,0,0,0,32.41,1,0,0,0,0,2.98,36.67,28.31,73.87,28.27,88.34,28.59,60.55,28.47,70.28,39.89,29.68,False
06/01/17 08,2.36,4.68,3.86,4,1.8,5.39,3.4,93.37,1,93.38,1,0,0,0,0,0,0,0,0,48.52,1,35.8,1,0,0,30.7,1,0,0,0,0,2.98,36.52,27.8,71.32,27.76,87.94,21.51,82.09,21.4,69.12,39.45,29.17,False
06/01/17 09,2.59,4.17,3.47,4.57,2.24,5.5,3.98,93.28,1,93.3,1,0,0,0,0,0,0,0,0,0,0,35.89,1,0,0,30.06,1,0,0,0,0,2.98,36.57,29.17,71.44,29.17,64.42,21.8,82.21,21.69,71.5,39.57,30.36,False
06/01/17 10,2.81,4.17,3.11,3.13,2.64,5.5,4.43,93.83,1,93.84,1,0,0,0,0,0,0,0,0,0,0,35.23,1,0,0,30.77,1,0,0,0,0,2.98,36.28,29.17,70.64,29.17,60.62,21.61,83.19,21.5,68.98,39.33,30.36,False
06/01/17 11,2.98,3.59,3.14,2.71,3.16,5.5,4.23,91.94,1,91.96,1,0,0,34.7,1,0,0,0,0,48.36,1,35.85,1,0,0,30.64,1,0,0,0,0,2.98,37.28,23.4,86.01,23.47,83.93,22.49,82.98,22.37,70.28,40.44,25.17,False
06/01/17 12,3.24,2.72,3.54,2.86,3.55,5.5,4.37,91.18,1,91.19,1,0,0,33.53,1,0,0,0,0,48.21,1,35.51,1,0,0,30.38,1,0,0,0,0,2.98,37.68,22.68,87.23,22.74,83.48,23.13,84.21,23.03,71.79,40.95,24.43,False
06/01/17 13,3.52,1.85,3.98,2.9,4.06,5.5,4.78,90.83,1,90.85,1,0,0,31.72,1,0,0,0,0,48.03,1,0,0,0,0,31.92,1,0,0,0,0,2.98,37.86,22.05,89.47,22.1,83.16,30.35,63.51,30.23,73.8,41.58,23.76,False
06/01/17 14,4.01,1.01,4.48,2.86,3.37,5.12,3.05,88.34,1,88.36,1,0,0,32.72,1,0,0,0,0,47.69,1,0,0,0,0,0,0,0,0,0,0,2.98,39.16,21.12,86.98,21.18,82.86,34.84,62.07,34.84,56.04,43.56,22.85,False
06/01/17 15,4.26,0.62,4.9,2.82,2.58,5.03,2.26,94.98,1,95,1,0,0,34.51,1,0,0,0,0,48.87,1,0,0,0,0,33.26,1,0,0,111.65,1,2.98,35.66,25.67,88.6,25.73,85.25,28.79,61.64,28.66,67.39,28.81,27.91,False
06/01/17 16,4.17,0.91,5.34,3.15,1.84,5.17,2.15,95.27,1,95.29,1,0,0,0,0,0,0,0,0,50.24,1,0,0,0,0,33.07,1,0,0,100.91,1,2.98,35.51,27.57,72.86,27.53,84.41,28.67,60.92,28.54,67.97,30.24,29.34,False
06/01/17 17,4.02,1.43,4.95,3.09,1.73,5.33,2.22,95.71,1,95.73,1,0,0,0,0,0,0,0,0,49.73,1,35.89,1,0,0,31.11,1,0,0,96.06,1,2.98,35.28,27.81,74.15,27.77,85.63,21.51,81.94,21.39,67.73,30.44,29.54,False
06/01/17 18,3.83,1.91,4.64,3.36,2.15,5.5,2.49,95.73,1,95.75,1,0,0,0,0,0,0,0,0,50.01,1,35.74,1,0,0,30.3,1,0,0,93.52,1,2.98,35.26,28.11,73.14,28.07,85.38,21.67,82.35,21.56,70.58,30.73,29.83,False
06/01/17 19,3.66,2.36,4.29,3.51,2.59,5.5,3.02,96.84,1,96.86,1,0,0,0,0,0,0,0,0,50.64,1,35.48,1,0,0,30.31,1,0,0,87.93,1,2.98,34.67,28.21,73.74,28.17,84.25,21.04,82.18,20.93,69.94,30.79,29.89,False
06/01/17 20,3.43,2.74,3.99,3.22,2.98,5.5,3.35,96.2,1,96.22,1,0,0,0,0,0,0,0,0,50.44,1,35.39,1,0,0,30.17,1,0,0,87.46,1,2.98,35.02,28.58,68.65,28.54,85.03,21.39,82.68,21.28,70.72,31.16,30.26,False
06/01/17 21,3.27,3.12,3.5,3.27,3.4,5.5,3.76,96.99,1,97.01,1,0,0,0,0,0,0,0,0,50.56,1,35.61,1,0,0,30.37,1,0,0,82.72,1,2.98,34.59,28.73,69.76,28.69,84.93,20.78,81.69,20.67,69.46,31.28,30.38,False
06/01/17 22,3.08,3.45,3.07,3.27,3.61,5.5,3.86,96.82,1,96.84,1,0,0,0,0,0,0,0,0,50.72,1,35.64,1,0,0,30.73,1,0,0,81.06,1,2.98,34.68,28.98,69.53,28.94,84.85,20.7,81.56,20.59,68.22,31.52,30.62,False
06/01/17 23,2.9,3.52,3.31,3.22,3.77,5.5,3.62,97.05,1,97.07,1,0,0,35.97,1,0,0,0,0,50.02,1,35.07,1,0,0,30.57,1,0,0,84.58,1,2.97,34.56,27.9,88.31,27.97,85.28,20.7,82.56,20.59,68.74,30.89,29.99,False
07/01/17 00,2.76,3.51,3.78,3.37,3.82,5.5,3.6,95.97,1,95.99,1,0,0,34.73,1,0,0,0,0,49.83,1,0,0,0,0,31.23,1,0,0,89.2,1,2.98,35.13,27.94,90.5,28,85.66,27.81,62.99,27.69,73.64,30.93,30.03,False
07/01/17 01,2.8,3.56,4.3,3.58,3.1,5.5,4.35,95.55,1,95.57,1,0,0,34.19,1,0,0,0,0,48.83,1,0,0,0,0,30.77,1,0,0,90.37,1,2.98,35.36,28.03,91.51,28.1,87.68,28.05,63.66,27.94,75.43,31.02,30.12,False
07/01/17 02,2.94,3.65,4.84,4.16,2.62,5.35,4.07,94.92,1,94.93,1,0,0,33.37,1,0,0,0,0,48.64,1,0,0,0,0,0,0,0,0,93.4,1,2.98,35.7,28.21,93.04,28.27,88.21,31.01,63.15,31.01,59.52,31.2,30.3,False
07/01/17 03,3.16,3.92,5.26,4.33,2.13,5.05,2.8,93.25,1,93.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1,1,2.98,36.59,32.57,75.86,32.57,67.86,31.9,62.67,31.9,58.78,34.87,33.97,False
07/01/17 04,3.4,4.67,5.01,3.32,1.64,5.07,2.65,93.19,1,93.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.19,1,0,0,68.75,1,2.98,36.62,32.92,76.19,32.92,67.81,29.14,62.51,29.02,71.6,35.2,34.3,False
07/01/17 05,3.48,5.15,4.8,3.49,1.97,5.43,3.52,94.97,1,94.99,1,0,0,0,0,0,0,0,0,49.75,1,35.27,1,0,0,30.39,1,0,0,77.52,1,2.98,35.67,30.57,75.16,30.53,88.36,21.95,83.47,21.85,70.59,33.09,32.19,False
07/01/17 06,3.43,5.44,4.55,4.1,2.59,5.5,4.53,94.73,1,94.74,1,0,0,0,0,0,0,0,0,49.68,1,35.33,1,0,0,29.61,1,0,0,76.36,1,2.98,35.8,30.82,74.32,30.78,88.73,22.19,83.59,22.09,73.33,33.32,32.42,False
07/01/17 07,3.71,5.25,4.26,4.25,3.19,5.34,4.12,90.28,1,90.29,1,0,0,0,0,0,0,0,0,0,0,37.72,1,0,0,0,0,0,0,0,0,2.98,38.15,30.25,73.68,30.25,66.47,29.83,86.85,29.83,58.66,41.9,31.44,False
07/01/17 08,4.07,5.25,3.96,3.07,3.81,5,2.63,90.22,1,90.23,1,0,0,0,0,0,0,0,0,0,0,37.72,1,0,0,0,0,0,0,0,0,2.98,38.18,30.25,71.72,30.25,61.85,30.02,87.03,30.02,57,42.02,31.44,False
07/01/17 09,4.39,4.74,3.58,3.14,3.59,5.23,2.93,90.55,1,90.57,1,0,0,0,0,0,0,0,0,50.45,1,0,0,0,0,33.38,1,0,0,0,0,2.98,38.01,27.72,71.93,27.68,84.13,30.63,62.1,30.5,68.76,41.95,29.1,False
07/01/17 10,4.5,4.21,3.23,2.96,2.77,5.44,3.06,112.47,1,0,0,0,0,0,0,0,0,0,0,50.12,1,0,0,0,0,33.02,1,0,0,0,0,2.99,26.06,27.21,69.72,27.17,84.27,29.14,61.72,29.01,68.63,38.68,28.59,False
07/01/17 11,4.52,3.51,3.19,2.91,2.02,5.5,3.31,111.96,1,0,0,0,0,33.72,1,0,0,0,0,48.33,1,0,0,0,0,32.74,1,0,0,0,0,2.99,26.35,23.44,87.68,23.5,84.01,29.35,61.37,29.22,69.85,38.88,25.19,False
07/01/17 12,4.53,2.64,3.65,3.04,1.61,5.5,3.32,112.53,1,0,0,0,0,33.54,1,0,0,0,0,47.77,1,36.24,1,0,0,30.68,1,0,0,0,0,2.99,26.03,22.65,87.19,22.71,84.25,22.4,82.18,22.29,70.07,38.54,24.4,False
07/01/17 13,4.42,1.78,4.09,3.25,2.05,5.5,3.58,113.64,1,0,0,0,0,33.27,1,0,0,0,0,47.35,1,36.1,1,0,0,30.43,1,0,0,0,0,2.99,25.4,21.87,86.85,21.93,84.24,21.91,81.95,21.8,70.4,38.01,23.61,False
07/01/17 14,4.24,0.93,4.49,3.45,2.41,5.5,3.88,112.76,1,0,0,0,0,32.17,1,0,0,0,0,46.7,1,35.74,1,0,0,30.03,1,0,0,0,0,2.99,25.9,21.22,87.94,21.27,84.73,22.49,83.17,22.38,72.28,38.35,22.93,False
07/01/17 15,3.95,0.56,4.95,3.8,2.9,5.5,4.45,118.62,1,0,0,0,0,33.35,1,0,0,0,0,48.26,1,34.65,1,0,0,29.13,1,0,0,91.27,1,2.99,22.55,25.09,89.94,25.14,85.79,19.81,82.37,19.71,72.45,28.06,27.16,False
07/01/17 16,3.49,0.74,5.21,4.09,3.37,5.41,4.46,117.27,1,0,0,0,0,0,0,0,0,0,0,49.36,1,36.72,1,0,0,0,0,0,0,88.65,1,2.99,23.32,26.72,73.73,26.68,85.26,26.04,84.89,26.04,58.8,29.29,28.39,False
07/01/17 17,3.14,1.15,4.87,4.13,3.86,5.07,2.93,117.32,1,0,0,0,0,0,0,0,0,0,0,48.97,1,36.46,1,0,0,0,0,0,0,85.97,1,2.99,23.3,27,73.13,26.96,86.28,25.99,85.33,25.99,56.93,29.56,28.66,False
07/01/17 18,2.83,1.53,4.51,4.4,3.51,5.16,2.78,117.22,1,0,0,0,0,0,0,0,0,0,0,49.13,1,0,0,0,0,32.16,1,0,0,84.04,1,2.99,23.35,27.28,72.88,27.24,86.25,26.57,63.42,26.45,69.15,29.83,28.93,False
