"","DATETIME","LEVEL_T1","LEVEL_T2","LEVEL_T3","LEVEL_T4","LEVEL_T5","LEVEL_T6","LEVEL_T7","FLOW_PU1","STATUS_PU1","FLOW_PU2","STATUS_PU2","FLOW_PU3","STATUS_PU3","FLOW_PU4","STATUS_PU4","FLOW_PU5","STATUS_PU5","FLOW_PU6","STATUS_PU6","FLOW_PU7","STATUS_PU7","FLOW_PU8","STATUS_PU8","FLOW_PU9","STATUS_PU9","FLOW_PU10","STATUS_PU10","FLOW_PU11","STATUS_PU11","FLOW_V2","STATUS_V2","PRESSURE_J280","PRESSURE_J269","PRESSURE_J300","PRESSURE_J256","PRESSURE_J289","PRESSURE_J415","PRESSURE_J302","PRESSURE_J306","PRESSURE_J307","PRESSURE_J317","PRESSURE_J14","PRESSURE_J422","ATT_FLAG"
"11","04/07/16 10",4.73,0.62,3.59,2.66,2.13,5.43,2.63,117.5,"True",0,"False",0,"False",0,"False",0,"False",0,"False",50.13,"True",35.33,"True",0,"False",30.91,"True",0,"False",88.73,"True",2.99,23.19,26.55,71.49,26.51,83.59,19.96,81.37,19.85,66.85,29.13,28.23,"False"
"12","04/07/16 11",4.24,1.01,3.22,2.52,2.5,5.5,2.53,118.65,"True",0,"False",0,"False",0,"False",0,"False",0,"False",49.76,"True",34.44,"True",0,"False",30.27,"True",0,"False",82.43,"True",2.99,22.53,26.65,71.99,26.61,84.42,19.57,82.51,19.47,68.58,29.19,28.29,"False"
"13","04/07/16 12",3.74,1.23,3.17,2.67,3.03,5.5,2.7,118.91,"True",0,"False",0,"False",34.87,"True",0,"False",0,"False",48.57,"True",34.77,"True",0,"False",30.14,"True",0,"False",85.34,"True",2.99,22.38,25.65,87.98,25.72,85.79,19.32,81.68,19.21,68.76,28.61,27.71,"False"
"14","04/07/16 13",3.25,1.25,3.64,3.13,3.38,5.5,2.89,121.45,"True",0,"False",0,"False",35.25,"True",0,"False",0,"False",48.61,"True",33.86,"True",0,"False",29.95,"True",0,"False",73.53,"True",2.99,20.9,25.56,87.23,25.63,85.62,17.95,81.85,17.84,68.01,28.46,27.56,"False"
"15","04/07/16 14",2.7,1.13,4.07,3.49,3.8,5.5,2.9,119.84,"True",0,"False",0,"False",34.71,"True",0,"False",0,"False",48.82,"True",34.47,"True",0,"False",30.1,"True",0,"False",80.99,"True",2.99,21.84,25.54,88.13,25.6,85.21,18.72,81.59,18.61,68.29,28.47,27.57,"False"
"16","04/07/16 15",2.25,1.09,4.51,3.69,4.07,5.5,2.95,118.63,"True",0,"False",0,"False",33.58,"True",0,"False",0,"False",49.16,"True",0,"False",0,"False",30.88,"True",0,"False",87.53,"True",2.99,22.54,25.55,90.03,25.61,84.57,25.87,63.44,25.76,72.86,28.51,27.61,"False"
"17","04/07/16 16",1.93,1.14,5.01,3.67,3.37,5.5,3.7,118.64,"True",0,"False",0,"False",34.31,"True",0,"False",0,"False",48.76,"True",0,"False",0,"False",31.36,"True",0,"False",86.82,"True",2.99,22.53,25.58,88.84,25.64,85.35,25.73,62.83,25.61,71.1,28.54,27.64,"False"
"18","04/07/16 17",1.65,1.27,5.17,3.88,2.7,5.5,4.02,118.09,"True",0,"False",0,"False",0,"False",0,"False",0,"False",49.08,"True",0,"False",0,"False",31.29,"True",0,"False",81.56,"True",2.99,22.85,26.9,73.53,26.87,85.98,25.99,62.44,25.87,71.6,29.44,28.54,"False"
"19","04/07/16 18",1.43,1.61,4.82,4.13,2.06,5.5,4.38,119.24,"True",0,"False",0,"False",0,"False",0,"False",0,"False",49.42,"True",0,"False",0,"False",30.78,"True",0,"False",75.59,"True",2.99,22.19,26.97,72.12,26.93,85.4,25.42,61.04,25.31,72.77,29.47,28.57,"False"
"20","04/07/16 19",1.15,1.87,4.43,4.18,1.61,5.43,4.46,120.18,"True",0,"False",0,"False",0,"False",0,"False",0,"False",49.26,"True",36.72,"True",0,"False",0,"False",0,"False",69.84,"True",2.99,21.64,27.03,71.12,26.99,85.76,24.04,82.9,24.04,57.4,29.5,28.6,"False"
"21","04/07/16 20",0.93,2.11,4.01,4.32,2.07,5.03,2.64,98.54,"True",98.56,"True",0,"False",0,"False",0,"False",0,"False",49.49,"True",36.94,"True",0,"False",0,"False",0,"False",79.51,"True",2.97,33.76,27.62,70.04,27.58,85.9,25.04,83.5,25.04,52.06,30.15,29.25,"False"
"22","04/07/16 21",0.84,2.4,3.57,4.43,2.48,4.9,1.72,99.33,"True",99.35,"True",0,"False",0,"False",0,"False",0,"False",50.03,"True",34.96,"True",0,"False",30.85,"True",0,"False",74.46,"True",2.97,33.32,27.7,69.82,27.66,84.94,18.62,80.66,18.51,65.72,30.2,29.3,"False"
"23","04/07/16 22",0.7,2.66,3.14,4.16,2.75,4.93,1.44,98.88,"True",98.9,"True",0,"False",0,"False",0,"False",0,"False",50.11,"True",35.3,"True",0,"False",30.88,"True",0,"False",74.1,"True",2.97,33.57,27.93,69.61,27.89,85.02,18.69,80.15,18.58,65.69,30.43,29.53,"False"
"24","04/07/16 23",0.59,2.67,3.3,3.99,2.87,4.97,1.23,99.04,"True",99.06,"True",0,"False",36.11,"True",0,"False",0,"False",49.59,"True",34.87,"True",0,"False",30.8,"True",0,"False",77.23,"True",2.97,33.49,26.99,87.16,27.07,85.2,18.71,80.91,18.59,65.96,29.93,29.03,"False"
"25","05/07/16 00",0.49,2.59,3.73,4,3.13,5.06,1.2,99.6,"True",99.62,"True",0,"False",34.66,"True",0,"False",0,"False",49.38,"True",34.44,"True",0,"False",30.76,"True",0,"False",75.28,"True",2.97,33.18,26.93,89.61,26.99,85.53,18.49,81.41,18.38,65.89,29.83,28.93,"False"
"26","05/07/16 01",0.35,2.49,4.23,4.11,3.47,5.13,1.14,98.71,"True",98.73,"True",0,"False",33.92,"True",0,"False",0,"False",49.07,"True",33.68,"True",0,"False",30.21,"True",0,"False",78.91,"True",2.97,33.66,26.9,90.81,26.96,86.09,19.18,83.39,19.07,68.4,29.81,28.91,"False"
"27","05/07/16 02",0.32,2.45,4.75,4.34,3.95,5.41,1.87,98.25,"True",98.27,"True",0,"False",33.13,"True",0,"False",0,"False",48.35,"True",0,"False",0,"False",31.81,"True",0,"False",81.71,"True",2.97,33.91,26.9,92.11,26.96,87.44,25.48,63.93,25.36,69.3,29.81,28.91,"False"
"28","05/07/16 03",0.44,2.67,5.31,4,3.36,5.5,2.69,96.09,"True",96.11,"True",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",29.96,"True",0,"False",66.23,"True",2.98,35.07,30.7,76.28,30.7,67.44,26.76,63.77,26.65,76.77,32.97,32.07,"False"
"29","05/07/16 04",0.7,3.35,5.09,3.02,2.84,5.5,4.04,96.52,"True",96.54,"True",0,"False",0,"False",0,"False",0,"False",48.02,"True",0,"False",0,"False",29.88,"True",0,"False",78.17,"True",2.98,34.84,28.89,76.62,28.85,89.93,26.68,63.56,26.58,76.95,31.39,30.49,"False"
"30","05/07/16 05",0.93,3.68,4.9,3.97,2.4,5.44,4.67,95.15,"True",95.16,"True",0,"False",0,"False",0,"False",0,"False",48.41,"True",0,"False",0,"False",0,"False",0,"False",82.99,"True",2.98,35.58,29.42,75.49,29.38,89.74,29.93,62.55,29.93,61.56,31.95,31.05,"False"
"31","05/07/16 06",1.28,4.17,4.66,4.22,1.84,5.25,3.87,94.86,"True",94.88,"True",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",64.86,"True",2.98,35.73,32.09,74.9,32.09,66.21,30.34,62.34,30.34,58.59,34.35,33.45,"False"
"32","05/07/16 07",1.57,4.84,4.4,3.01,1.72,4.91,2.42,96.08,"True",96.1,"True",0,"False",0,"False",0,"False",0,"False",0,"False",35.3,"True",0,"False",30.46,"True",0,"False",55.02,"True",2.98,35.08,31.99,73.4,31.99,63.78,20.33,81.77,20.22,68.85,34.2,33.3,"False"
"33","05/07/16 08",1.61,5.12,4.07,2.95,2.18,5.2,2.99,96.8,"True",96.82,"True",0,"False",0,"False",0,"False",0,"False",50.74,"True",35.94,"True",0,"False",30.39,"True",0,"False",67.02,"True",2.98,34.69,30.16,72.19,30.12,85.99,19.97,80.3,19.86,68.61,32.62,31.72,"False"
"34","05/07/16 09",1.61,5.29,3.71,3.21,2.34,5.45,3.39,97.63,"True",97.65,"True",0,"False",0,"False",0,"False",0,"False",50.76,"True",35.49,"True",0,"False",30.51,"True",0,"False",62.87,"True",2.97,34.24,30.23,69.99,30.19,86.03,19.71,80.83,19.6,67.95,32.68,31.78,"False"
"35","05/07/16 10",1.55,5.42,3.28,3.43,2.59,5.5,3.65,97.87,"True",97.89,"True",0,"False",0,"False",0,"False",0,"False",51.06,"True",34.84,"True",0,"False",30.15,"True",0,"False",60.84,"True",2.97,34.12,30.31,68.57,30.27,85.5,19.81,82.06,19.71,69.22,32.75,31.85,"False"
"36","05/07/16 11",1.47,5.38,3.18,3.46,3.03,5.5,3.74,97.15,"True",97.17,"True",0,"False",36.2,"True",0,"False",0,"False",51.32,"True",34.96,"True",0,"False",30.27,"True",0,"False",67.68,"True",2.97,34.5,29.42,89.42,29.49,84.2,20.03,82.07,19.93,69.05,32.33,31.43,"False"
"37","05/07/16 12",1.45,5.17,3.68,3.01,3.41,5.5,3.76,98.2,"True",98.22,"True",0,"False",36.56,"True",0,"False",0,"False",50.32,"True",34.91,"True",0,"False",29.81,"True",0,"False",65.39,"True",2.97,33.94,29.17,88.53,29.24,85.95,19.7,81.83,19.6,70.2,32.06,31.16,"False"
"38","05/07/16 13",1.35,4.95,4.13,3.29,3.72,5.5,4.04,96.71,"True",96.73,"True",0,"False",35.37,"True",0,"False",0,"False",50.21,"True",33.84,"True",0,"False",30.26,"True",0,"False",71.44,"True",2.98,34.74,29.17,90.62,29.23,86.17,20.42,84.36,20.31,69.49,32.07,31.17,"False"
"39","05/07/16 14",1.45,4.82,4.65,3.57,3.82,5.5,4.16,96.97,"True",96.99,"True",0,"False",35.86,"True",0,"False",0,"False",50.43,"True",0,"False",0,"False",30.68,"True",0,"False",72.95,"True",2.98,34.6,29.05,89.65,29.12,85.62,26.77,63.26,26.66,74.45,31.97,31.07,"False"
"40","05/07/16 15",1.59,4.7,5.11,3.68,3.14,5.43,4.46,96.92,"True",96.94,"True",0,"False",34.83,"True",0,"False",0,"False",50.42,"True",0,"False",0,"False",0,"False",0,"False",75.66,"True",2.98,34.63,29.01,91.39,29.07,85.58,29.62,63,29.62,57.98,31.93,31.03,"False"
"41","05/07/16 16",1.79,4.77,5.2,3.76,2.52,5.05,2.76,95.98,"True",96,"True",0,"False",0,"False",0,"False",0,"False",50.3,"True",0,"False",0,"False",0,"False",0,"False",75.34,"True",2.98,35.13,30.08,73.28,30.04,86.79,30.08,61.7,30.08,56.59,32.58,31.68,"False"
"42","05/07/16 17",1.93,5,4.84,4.06,1.8,5.14,2.6,97.3,"True",97.32,"True",0,"False",0,"False",0,"False",0,"False",50.28,"True",0,"False",0,"False",32.4,"True",0,"False",67.89,"True",2.97,34.42,30.07,73.14,30.03,86.82,26.68,61.34,26.55,68.41,32.54,31.64,"False"
"43","05/07/16 18",1.91,5.17,4.48,4.32,1.7,5.35,2.78,97.15,"True",97.17,"True",0,"False",0,"False",0,"False",0,"False",50.11,"True",34.93,"True",0,"False",30.73,"True",0,"False",66.29,"True",2.97,34.5,30.21,72.04,30.17,87.29,20.17,82.27,20.06,67.67,32.67,31.77,"False"
"44","05/07/16 19",1.87,5.49,4.1,3.95,2.25,5.5,2.96,97.33,"True",97.35,"True",0,"False",0,"False",0,"False",0,"False",0,"False",35.61,"True",0,"False",30.08,"True",0,"False",48.15,"True",2.97,34.41,32.17,70.03,32.17,62.31,19.98,80.89,19.87,69.61,34.36,33.46,"False"
"45","05/07/16 20",2.03,5.37,3.66,2.79,2.52,5.5,3.27,95.13,"True",95.15,"True",0,"False",0,"False",0,"False",0,"False",50.48,"True",35.55,"True",0,"False",30.62,"True",0,"False",0,"False",2.98,35.59,28.34,69.45,28.3,84.7,20.59,81.61,20.48,68.47,38.37,29.72,"False"
"46","05/07/16 21",2.18,4.83,3.21,2.85,2.85,5.5,3.24,95.04,"True",95.06,"True",0,"False",0,"False",0,"False",0,"False",50.41,"True",35.45,"True",0,"False",30.61,"True",0,"False",0,"False",2.98,35.63,27.81,68.37,27.77,84.31,20.72,81.91,20.61,68.62,38.47,29.19,"False"
"47","05/07/16 22",2.32,4.1,3.22,2.77,3.18,5.5,3.24,95.08,"True",95.1,"True",0,"False",34.62,"True",0,"False",0,"False",49.06,"True",35.47,"True",0,"False",31.09,"True",0,"False",0,"False",2.98,35.61,23.83,86.58,23.9,83.05,20.64,81.8,20.53,66.94,38.49,25.61,"False"
"48","05/07/16 23",2.45,3.21,3.64,2.58,3.46,5.5,2.81,93.95,"True",93.96,"True",0,"False",35.06,"True",0,"False",0,"False",48.57,"True",35.67,"True",0,"False",31.02,"True",0,"False",0,"False",2.98,36.22,22.95,84.94,23.02,83.08,21.21,82.02,21.1,67.76,39.15,24.73,"False"
"49","06/07/16 00",2.64,2.33,3.98,2.54,3.7,5.5,2.68,93.28,"True",93.3,"True",0,"False",33.37,"True",0,"False",0,"False",47.83,"True",35.14,"True",0,"False",30.62,"True",0,"False",0,"False",2.98,36.57,22.35,87.17,22.41,83.84,21.86,83.6,21.75,69.75,39.59,24.09,"False"
"50","06/07/16 01",2.91,1.47,4.41,2.76,3.76,5.5,3.07,89.71,"True",89.73,"True",0,"False",32.92,"True",0,"False",0,"False",47.35,"True",0,"False",0,"False",32.27,"True",0,"False",0,"False",2.98,38.45,21.6,87.14,21.65,83.95,30.58,63.71,30.46,72.79,42.11,23.33,"False"
"51","06/07/16 02",3.35,0.62,4.82,3,3.16,5.5,3.69,89.39,"True",89.41,"True",0,"False",31.39,"True",0,"False",0,"False",46.43,"True",0,"False",0,"False",31.25,"True",0,"False",0,"False",2.98,38.61,21.02,88.94,21.07,85,31.08,63.81,30.96,76.84,42.42,22.72,"False"
"52","06/07/16 03",3.4,0.76,5.29,3.51,2.7,5.5,4.79,94.76,"True",94.78,"True",0,"False",0,"False",0,"False",0,"False",48.29,"True",0,"False",0,"False",30.19,"True",0,"False",100.81,"True",2.98,35.78,27.56,76.01,27.52,88.11,28.75,63.6,28.64,78.02,30.21,29.31,"False"
"53","06/07/16 04",3.59,1.33,5.05,4.19,2.29,5.25,3.68,94.1,"True",94.12,"True",0,"False",0,"False",0,"False",0,"False",47.71,"True",0,"False",0,"False",0,"False",0,"False",100.79,"True",2.98,36.14,28.18,76.55,28.14,89.79,31.63,63.24,31.63,59.86,30.82,29.92,"False"
"54","06/07/16 05",3.82,2.06,4.87,4.21,1.9,4.97,2.61,93.43,"True",93.45,"True",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",81.64,"True",2.98,36.49,31.53,76.7,31.53,68.41,32.12,62.55,32.12,57.77,33.88,32.98,"False"
"55","06/07/16 06",3.94,2.89,4.71,3.3,1.59,5.12,2.74,93.75,"True",93.77,"True",0,"False",0,"False",0,"False",0,"False",0,"False",36.06,"True",0,"False",30.45,"True",0,"False",75.59,"True",2.98,36.32,31.76,74.84,31.76,65.74,22.45,82.58,22.35,70.88,34.08,33.18,"False"
"56","06/07/16 07",3.9,3.42,4.44,3.39,2.09,5.49,3.67,94.73,"True",94.75,"True",0,"False",0,"False",0,"False",0,"False",49.08,"True",35.4,"True",0,"False",31.07,"True",0,"False",88.5,"True",2.98,35.8,29.4,73.73,29.36,88.48,22.1,83.38,21.98,68.48,31.98,31.08,"False"
"57","06/07/16 08",3.81,3.83,4.13,4.07,2.67,5.5,4.02,95.66,"True",95.68,"True",0,"False",0,"False",0,"False",0,"False",49.63,"True",35.68,"True",0,"False",30.33,"True",0,"False",83.64,"True",2.98,35.3,29.53,72.52,29.49,87.56,21.7,82.48,21.59,70.53,32.08,31.18,"False"
"58","06/07/16 09",3.66,4.19,3.78,4.49,3.07,5.5,4.27,95.67,"True",95.68,"True",0,"False",0,"False",0,"False",0,"False",0,"False",35.52,"True",0,"False",30.71,"True",0,"False",64.23,"True",2.98,35.3,32.05,70.93,32.05,61.98,21.53,82.61,21.42,69.1,34.31,33.41,"False"
"59","06/07/16 10",3.55,4.85,3.38,2.82,3.45,5.5,4.14,95.97,"True",95.99,"True",0,"False",0,"False",0,"False",0,"False",51.05,"True",35.6,"True",0,"False",29.92,"True",0,"False",76.64,"True",2.98,35.14,30.18,72.16,30.14,85.4,21.55,82.47,21.44,71.7,32.7,31.8,"False"
"60","06/07/16 11",3.42,5.12,3.05,2.97,3.76,5.5,4.61,95.59,"True",95.61,"True",0,"False",0,"False",0,"False",0,"False",51.11,"True",35.07,"True",0,"False",30.39,"True",0,"False",76,"True",2.98,35.34,30.42,71.2,30.38,85.51,21.69,83.55,21.58,70.33,32.93,32.03,"False"
"61","06/07/16 12",3.38,5.13,3.34,3.09,3.67,5.5,4.77,95.13,"True",95.15,"True",0,"False",35.69,"True",0,"False",0,"False",50.81,"True",0,"False",0,"False",31.81,"True",0,"False",82.46,"True",2.98,35.59,29.49,90.4,29.56,85.3,28.39,61.97,28.27,72.19,32.47,31.57,"False"
"62","06/07/16 13",3.56,5.12,3.87,3.19,2.83,5.12,3.01,93.47,"True",93.49,"True",0,"False",37.32,"True",0,"False",0,"False",50.27,"True",0,"False",0,"False",0,"False",0,"False",91.15,"True",2.98,36.47,29.49,87.47,29.57,86.38,31.9,61.99,31.9,58.64,32.55,31.65,"False"
"63","06/07/16 14",3.72,5.14,4.28,3.52,2.1,5.19,2.95,95.37,"True",95.39,"True",0,"False",35.88,"True",0,"False",0,"False",50.61,"True",0,"False",0,"False",32.74,"True",0,"False",82.48,"True",2.98,35.46,29.5,90.07,29.57,85.7,28.4,61.33,28.27,68.91,32.48,31.58,"False"
"64","06/07/16 15",3.72,5.1,4.77,3.63,1.39,5.43,3.2,95.51,"True",95.53,"True",0,"False",35.79,"True",0,"False",0,"False",50.15,"True",36.05,"True",0,"False",30.88,"True",0,"False",81.26,"True",2.98,35.38,29.46,90.2,29.53,86.58,21.51,81.66,21.39,68.51,32.43,31.53,"False"
"65","06/07/16 16",3.59,5.05,5.25,3.93,1.81,5.5,3.64,95.71,"True",95.73,"True",0,"False",35.7,"True",0,"False",0,"False",49.86,"True",35.82,"True",0,"False",30.06,"True",0,"False",80.55,"True",2.98,35.28,29.41,90.3,29.48,87.09,21.62,82.16,21.51,71.33,32.37,31.47,"False"
"66","06/07/16 17",3.48,5.29,4.94,4.32,2.26,5.5,4.12,95.58,"True",95.6,"True",0,"False",0,"False",0,"False",0,"False",50.58,"True",35.78,"True",0,"False",29.81,"True",0,"False",74.94,"True",2.98,35.34,30.58,73.15,30.54,86.74,21.69,82.29,21.58,72.17,33.08,32.18,"False"
"67","06/07/16 18",3.38,5.54,4.59,4.49,2.67,5.5,4.68,92.14,"True",92.16,"True",0,"False",0,"False",0,"False",0,"False",49.51,"True",35.99,"True",0,"False",30.04,"True",0,"False",0,"False",2.98,37.17,28.59,72.27,28.55,86.84,22.67,82.91,22.57,72.44,40.44,29.96,"False"
"68","06/07/16 19",3.7,5.52,4.21,3.13,3.14,5.23,3.52,91.02,"True",91.04,"True",0,"False",0,"False",0,"False",0,"False",0,"False",38.4,"True",0,"False",0,"False",0,"False",0,"False",2.98,37.76,30.52,72.23,30.52,61.26,29.35,85.07,29.35,55.58,41.45,31.71,"False"
"69","06/07/16 20",3.99,5.12,3.84,2.8,3.5,4.93,2.03,92.85,"True",92.87,"True",0,"False",0,"False",0,"False",0,"False",50.61,"True",35.72,"True",0,"False",31.46,"True",0,"False",0,"False",2.98,36.8,28.09,68.77,28.05,84.18,22.3,83.02,22.18,67.32,40.23,29.47,"False"
"70","06/07/16 21",4.14,4.59,3.37,2.72,3.86,5.11,2.19,92.46,"True",92.48,"True",0,"False",0,"False",0,"False",0,"False",50.5,"True",36.08,"True",0,"False",31.7,"True",0,"False",0,"False",2.98,37,27.56,69.76,27.52,83.89,22.39,82.47,22.27,66.61,40.48,28.94,"False"
"71","06/07/16 22",4.33,4,3.06,2.58,3.77,5.22,2.04,91.88,"True",91.89,"True",0,"False",35.25,"True",0,"False",0,"False",49.35,"True",0,"False",0,"False",33.6,"True",0,"False",0,"False",2.98,37.31,23.63,85.29,23.69,82.3,29.94,62.12,29.81,67.24,41.16,25.41,"False"
"72","06/07/16 23",4.48,3.1,3.44,2.05,2.94,5.33,1.86,112.7,"True",0,"False",0,"False",34.18,"True",0,"False",0,"False",48.9,"True",0,"False",0,"False",33.31,"True",0,"False",0,"False",2.99,25.93,22.91,86.39,22.97,82.42,29.01,62,28.88,67.4,38.59,24.68,"False"
"73","07/07/16 00",4.46,2.1,3.84,2.34,2.2,5.46,1.83,111.76,"True",0,"False",0,"False",32.29,"True",0,"False",33.44,"True",33.41,"True",0,"False",0,"False",33.37,"True",0,"False",0,"False",2.99,26.47,19.95,86.48,19.97,101.72,29.3,61.89,29.17,67.49,38.95,21.89,"False"
"74","07/07/16 01",4.54,1.05,4.24,3.32,1.56,5.5,1.91,111.03,"True",0,"False",0,"False",30.73,"True",0,"False",32.17,"True",32.15,"True",0,"False",0,"False",31.85,"True",0,"False",0,"False",2.99,26.88,19.44,88.35,19.46,102.47,29.83,61.85,29.71,73.5,39.31,21.32,"False"
"75","07/07/16 02",4.37,0.57,4.74,4.01,1.99,5.5,2.69,117.21,"True",0,"False",0,"False",32.85,"True",0,"False",0,"False",47.62,"True",35.08,"True",0,"False",29.33,"True",0,"False",96.48,"True",2.99,23.36,25.25,90.9,25.31,87.12,20.56,82.39,20.46,72.56,28.24,27.34,"False"
"76","07/07/16 03",3.92,0.76,5.26,4.42,2.51,5.5,3.55,115.7,"True",0,"False",0,"False",33.03,"True",0,"False",0,"False",0,"False",34.79,"True",0,"False",28.5,"True",0,"False",87.47,"True",2.99,24.23,27.69,93.06,27.78,68.25,21.69,84.02,21.59,76.23,30.26,29.36,"False"
"77","07/07/16 04",3.63,1.53,5.08,3.45,3.17,5.5,4.84,114.28,"True",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",36.3,"True",0,"False",0,"False",0,"False",74.63,"True",2.99,25.03,30.31,75.67,30.31,68.71,27.76,87.38,27.76,61.33,32.63,31.73,"False"
"78","07/07/16 05",3.46,2.22,4.83,3.12,3.95,5.28,3.86,115.41,"True",0,"False",0,"False",0,"False",0,"False",0,"False",49.87,"True",35.48,"True",0,"False",0,"False",0,"False",86.49,"True",2.99,24.39,28.05,75.92,28.01,85.61,27.24,88.32,27.24,59.83,30.62,29.72,"False"
"79","07/07/16 06",3.34,2.63,4.62,3.37,3.94,5,2.74,114.61,"True",0,"False",0,"False",0,"False",0,"False",0,"False",49.33,"True",0,"False",0,"False",0,"False",0,"False",87.14,"True",2.99,24.85,28.52,74.08,28.48,87.11,30.7,64.73,30.7,58.96,31.09,30.19,"False"
"80","07/07/16 07",3.16,2.99,4.32,3.86,3.51,5.2,3.13,115.69,"True",0,"False",0,"False",0,"False",0,"False",0,"False",48.92,"True",0,"False",0,"False",32.68,"True",0,"False",80.72,"True",2.99,24.23,28.59,74.29,28.56,87.96,27.39,62.18,27.26,68.11,31.12,30.22,"False"
"81","07/07/16 08",2.95,3.32,4.04,4.42,2.72,5.38,3.11,115.57,"True",0,"False",0,"False",0,"False",0,"False",0,"False",49.53,"True",0,"False",0,"False",32.36,"True",0,"False",79.01,"True",2.99,24.3,28.82,69.71,28.78,87.03,27.45,61.99,27.32,69.31,31.33,30.43,"False"
